code,公司名称：,公司简称：,证券简称更名历史：
603053,成都燃气集团股份有限公司,成都燃气集团, N成燃
002970,深圳市锐明技术股份有限公司,深圳市锐明技术, N锐明
688258,江苏卓易信息科技股份有限公司,江苏卓易信息科技, 卓易信息
688039,杭州当虹科技股份有限公司,杭州当虹科技, 当虹科技
000980,众泰汽车股份有限公司,众泰汽车,ST金马 ST金马 ST金马 金马股份 G黄金马 金马股份 众泰汽车 众泰汽车
600889,南京化纤股份有限公司,南京化纤,S宁化纤 南京化纤 南京化纤
300147,广州市香雪制药股份有限公司,广州市香雪制药, 香雪制药
600677,航天通信控股集团股份有限公司,航天通信控股集团,航天中汇 航天通信 G航通 航天通信 航天通信
600695,上海绿庭投资控股集团股份有限公司,上海绿庭投资控股集团,ST大江 ST大江B ST大江 ST大江B ST大江 ST大江B ST大江 ST大江B GST大江 ST大江 ST大江 ST大江B 大江股份 大江B股 绿庭投资 绿庭B股 绿庭投资
002171,安徽楚江科技新材料股份有限公司,安徽楚江科技新材料,楚江新材 楚江新材
601990,南京证券股份有限公司,南京证券, 南京证券
002343,慈文传媒股份有限公司,慈文传媒,慈文传媒 慈文传媒
002765,重庆蓝黛动力传动机械股份有限公司,重庆蓝黛动力传动机械, 蓝黛传动
300303,深圳市聚飞光电股份有限公司,深圳市聚飞光电, 聚飞光电
000156,华数传媒控股股份有限公司,华数传媒控股,嘉瑞新材 ST嘉瑞 SST嘉瑞 ST嘉瑞 华数传媒 华数传媒
600909,华安证券股份有限公司,华安证券, 华安证券
300035,湖南中科电气股份有限公司,湖南中科电气, 中科电气
002855,东莞捷荣技术股份有限公司,东莞捷荣技术, 捷荣技术
600776,东方通信股份有限公司,东方通信,ST东信 ST东信B 东方通信 东信B股 G东信 东方通信 东方通信
600114,东睦新材料集团股份有限公司,东睦新材料集团,G东睦 宁波东睦 东睦股份 东睦股份
300269,深圳市联建光电股份有限公司,深圳市联建光电, 联建光电
002751,深圳市易尚展示股份有限公司,深圳市易尚展示, 易尚展示
002351,深圳市漫步者科技股份有限公司,深圳市漫步者科技, 漫步者
300456,北京耐威科技股份有限公司,北京耐威科技, 耐威科技
300079,北京数码视讯科技股份有限公司,北京数码视讯科技,数码科技 数码科技
300502,成都新易盛通信技术股份有限公司,成都新易盛通信技术, 新易盛
002319,珠海市乐通化工股份有限公司,珠海市乐通化工, 乐通股份
601231,环旭电子股份有限公司,环旭电子, 环旭电子
300311,任子行网络技术股份有限公司,任子行网络技术, 任子行
300561,珠海汇金科技股份有限公司,珠海汇金科技, 汇金科技
300810,北京中科海讯数字科技股份有限公司,北京中科海讯数字科技, 中科海讯
300586,广东美联新材料股份有限公司,广东美联新材料, 美联新材
002460,江西赣锋锂业股份有限公司,江西赣锋锂业, 赣锋锂业
300081,恒信东方文化股份有限公司,恒信东方文化,恒信东方 恒信东方
002966,苏州银行股份有限公司,苏州银行, 苏州银行
002291,星期六股份有限公司,星期六, 星期六
603738,泰晶科技股份有限公司,泰晶科技, 泰晶科技
300643,万通智控科技股份有限公司,万通智控科技, 万通智控
002846,广东英联包装股份有限公司,广东英联包装, 英联股份
600136,武汉当代明诚文化体育集团股份有限公司,武汉当代明诚文化体育集团,ST道博 SST道博 ST道博 ST道博 道博股份 当代明诚 当代明诚
600651,上海飞乐音响股份有限公司,上海飞乐音响, 飞乐音响
002605,上海姚记科技股份有限公司,上海姚记科技,姚记科技 姚记科技
000823,广东汕头超声电子股份有限公司,广东汕头超声电子,G超声 超声电子 超声电子
601700,常熟风范电力设备股份有限公司,常熟风范电力设备, 风范股份
000026,飞亚达(集团)股份有限公司,飞亚达(集团),S飞亚达A 飞亚达A 飞亚达Ａ
600812,华北制药股份有限公司,华北制药,华北制药 G华药 华北制药 华北制药
600310,广西桂东电力股份有限公司,广西桂东电力,G桂东 桂东电力 桂东电力
600975,湖南新五丰股份有限公司,湖南新五丰,G新五丰 新五丰 新五丰
601860,江苏紫金农村商业银行股份有限公司,江苏紫金农村商业银行, 紫金银行
000413,东旭光电科技股份有限公司,东旭光电科技,ST宝石A ST宝石B 宝石A 宝石B G宝石 宝石A ST宝石A ST宝石B 宝石A 宝石B 东旭光电东旭B 东旭光电
300128,苏州锦富技术股份有限公司,苏州锦富技术,锦富技术 锦富技术
300367,东方网力科技股份有限公司,东方网力科技, 东方网力
600716,江苏凤凰置业投资股份有限公司,江苏凤凰置业投资,G耀华 耀华玻璃 ST耀华 ST耀华 ST凤凰 凤凰股份 凤凰股份
600707,彩虹显示器件股份有限公司,彩虹显示器件,G彩虹 彩虹股份 ST彩虹 彩虹股份 彩虹股份
000040,东旭蓝天新能源股份有限公司,东旭蓝天新能源,ST鸿基 ST鸿基 ST鸿基 深鸿基A G深鸿基 深鸿基 宝安地产 东旭蓝天 东旭蓝天
600393,广州粤泰集团股份有限公司,广州粤泰集团,G东华 东华实业 粤泰股份 粤泰股份
000818,航锦科技股份有限公司,航锦科技,G锦化 锦化氯碱 ST锦化 ST锦化 ST化工 ST化工 方大化工 航锦科技 航锦科技
600668,浙江尖峰集团股份有限公司,浙江尖峰集团,尖峰集团 G尖峰 尖峰集团 尖峰集团
300219,鸿利智汇集团股份有限公司,鸿利智汇集团,鸿利智汇 鸿利智汇
603613,北京国联视讯信息技术股份有限公司,北京国联视讯信息技术, 国联股份
300069,浙江金利华电气股份有限公司,浙江金利华电气, 金利华电
002912,深圳市中新赛克科技股份有限公司,深圳市中新赛克科技, 中新赛克
000725,京东方科技集团股份有限公司,京东方科技集团,G京东方 京东方A ST东方A ST东方B 京东方A 京东方B 京东方Ａ
300659,中孚信息股份有限公司,中孚信息, 中孚信息
603839,安正时尚集团股份有限公司,安正时尚集团, 安正时尚
600831,陕西广电网络传媒(集团)股份有限公司,陕西广电网络传媒(集团),黄河科技 ST黄河科 广电网络 G广电 广电网络 广电网络
601698,中国卫通集团股份有限公司,中国卫通集团, 中国卫通
300798,江苏锦鸡实业股份有限公司,江苏锦鸡实业, 锦鸡股份
300302,北京同有飞骥科技股份有限公司,北京同有飞骥科技, 同有科技
603322,超讯通信股份有限公司,超讯通信, 超讯通信
002654,深圳万润科技股份有限公司,深圳万润科技, 万润科技
600816,安信信托股份有限公司,安信信托,安信信托 ST安信 GST安信 G安信 安信信托 安信信托
600369,西南证券股份有限公司,西南证券,ST长运 ST长运 GST长运 ST长运 ST长运 西南证券 西南证券
601375,中原证券股份有限公司,中原证券, 中原证券
300088,芜湖长信科技股份有限公司,芜湖长信科技, 长信科技
002572,索菲亚家居股份有限公司,索菲亚家居,索菲亚 索菲亚
603507,江苏振江新能源装备股份有限公司,江苏振江新能源装备, 振江股份
002241,歌尔股份有限公司,歌尔,歌尔股份 歌尔股份
002670,国盛金融控股集团股份有限公司,国盛金融控股集团,国盛金控 国盛金控
002234,山东民和牧业股份有限公司,山东民和牧业,ST民和 民和股份 民和股份
300232,深圳市洲明科技股份有限公司,深圳市洲明科技, 洲明科技
601319,中国人民保险集团股份有限公司,中国人民保险集团, 中国人保
300457,深圳市赢合科技股份有限公司,深圳市赢合科技, 赢合科技
300709,江苏精研科技股份有限公司,江苏精研科技, 精研科技
600516,方大炭素新材料科技股份有限公司,方大炭素新材料科技,ST海龙 SST海龙 ST海龙 ST方大 ST方大 方大炭素 方大炭素
300179,河南四方达超硬材料股份有限公司,河南四方达超硬材料, 四方达
603833,欧派家居集团股份有限公司,欧派家居集团, 欧派家居
000970,北京中科三环高技术股份有限公司,北京中科三环高技术,G三环 中科三环 中科三环
002118,吉林紫鑫药业股份有限公司,吉林紫鑫药业, 紫鑫药业
300455,北京康拓红外技术股份有限公司,北京康拓红外技术, 康拓红外
002311,广东海大集团股份有限公司,广东海大集团, 海大集团
300073,北京当升材料科技股份有限公司,北京当升材料科技, 当升科技
603786,科博达技术股份有限公司,科博达技术, 科博达
000831,五矿稀土股份有限公司,五矿稀土,G关铝 关铝股份 ST关铝 五矿稀土 ST五稀 五矿稀土 五矿稀土
